AnimalID,LitterRef,Group,DateOfBirth,Sex,Treatment,Outcome,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,MAMnths,Mat.Litter,Mother,Sur30,GroupSize,TunnelSize,M,Density,Mat_Col,Pat_Col,Date,Weight,Age,Amnths
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,26/02/2020,13,13,0.4
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,27/02/2020,12,11,0.4
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,28/02/2020,13,15,0.5
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,29/02/2020,13,13,0.4
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,04/03/2020,14,11,0.4
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,04/03/2020,13,11,0.4
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,06/03/2020,15,13,0.4
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,06/03/2020,13,13,0.4
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,07/03/2020,16,23,0.8
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,07/03/2020,15,20,0.7
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,08/03/2020,16,15,0.5
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,08/03/2020,14,15,0.5
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,14/03/2020,18,21,0.7
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,14/03/2020,15,21,0.7
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,14/03/2020,19,30,1
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,14/03/2020,19,27,0.9
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,23/03/2020,24,30,1
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,23/03/2020,21,30,1
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,23/03/2020,23,39,1.3
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,23/03/2020,25,36,1.2
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,27/03/2020,26,34,1.1
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,27/03/2020,22,34,1.1
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,27/03/2020,25,43,1.4
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,27/03/2020,28,40,1.3
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,03/04/2020,31,41,1.4
