AnimalID,LitterRef,Colony,Deathdate,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mat.Litter,Mother,Sur30,GroupSize,Density,DateWeighed,Weight,Wt_Diff
MBM017,849,Marabou,28/12/2022,28/12/2022,M,Outbred,Death,Natural,1,0,3,28/06/2016,2374,8,10,0,14,1.8,30/12/2022,6,2
PIF015,748,Pigeon,27/12/2021,26/12/2021,F,Inbred,Death,Natural,1,0,1,26/03/2016,2101,6,11,0,10,1.3,27/12/2021,10,1
BIM024,962,Bishop,23/01/2024,22/01/2024,M,Inbred,Death,Natural,1,0,3,13/02/2018,2169,9,2,0,15,1.9,23/01/2024,7,1
HCM016,914,Hammercobb,20/08/2023,16/08/2023,M,Outbred,Death,Natural,4,0.1,4,09/01/2018,2045,5,5,0,13,1.6,16/08/2023,6,0
TLF027,897,Tarentaal,15/06/2023,11/06/2023,F,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,8,1
TLM025,897,Tarentaal,15/06/2023,11/06/2023,M,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,6,1
TLM026,897,Tarentaal,15/06/2023,11/06/2023,M,Inbred,Death,Natural,4,0.1,4,27/01/2016,2692,7,13,0,13,1.6,12/06/2023,8,1
BIM015,845,Bishop,31/12/2022,28/12/2022,M,Inbred,Death,Natural,3,0.1,3,13/02/2018,1779,6,2,0,13,1.6,28/12/2022,9,0
TEM006,618,Tit-Babbler,07/10/2020,04/10/2020,M,Inbred,Death,Natural,3,0.1,3,15/11/2015,1785,2,15,0,4,1,05/10/2020,10,1
MBF002,586,Marabou,13/06/2020,09/06/2020,F,Outbred,Death,Natural,4,0.1,3,28/06/2016,1442,1,10,0,2,0.5,11/06/2020,11,2
BIM019,931,Bishop,11/10/2023,04/10/2023,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,2059,8,2,0,15,1.9,04/10/2023,8,0
BIM020,931,Bishop,11/10/2023,04/10/2023,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,2059,8,2,0,15,1.9,04/10/2023,8,0
VLF030,918,Vulture,29/08/2023,23/08/2023,F,Outbred,Death,Natural,6,0.2,3,16/09/2016,2532,10,16,0,24,1.5,24/08/2023,9,1
VLM029,918,Vulture,29/08/2023,23/08/2023,M,Outbred,Death,Natural,6,0.2,3,16/09/2016,2532,10,16,0,24,1.5,24/08/2023,9,1
KSM032,907,Kapantsi,06/08/2023,01/08/2023,M,Outbred,Death,Natural,6,0.2,3,11/08/2016,2546,9,8,0,21,1.3,02/08/2023,8,1
KSF030,907,Kapantsi,06/08/2023,01/08/2023,F,Outbred,Death,Natural,5,0.2,3,11/08/2016,2546,9,8,0,21,1.3,02/08/2023,9,1
BIF014,845,Bishop,02/01/2023,28/12/2022,F,Inbred,Death,Natural,5,0.2,3,13/02/2018,1779,6,2,0,13,1.6,28/12/2022,9,0
BIM010,809,Bishop,14/09/2022,07/09/2022,M,Inbred,Death,Natural,7,0.2,3,13/02/2018,1667,5,2,0,13,1.6,08/09/2022,8,1
BIM012,809,Bishop,12/09/2022,07/09/2022,M,Inbred,Death,Natural,5,0.2,3,13/02/2018,1667,5,2,0,13,1.6,12/09/2022,7,5
GEF004,782,Geelvink,28/05/2022,21/05/2022,F,Outbred,Death,Natural,7,0.2,3,14/06/2014,2898,2,4,0,4,1,21/05/2022,11,0
TLF006,574,Tarentaal,04/04/2020,30/03/2020,F,Inbred,Death,Natural,5,0.2,5,27/01/2016,1524,2,13,0,2,0.5,31/03/2020,8,1
