LitterRef,AnimalID,Colony,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Censorship_D,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mother,Sur30,GroupSize,Density
629,BIF001,Bishop,29/10/2020,F,Inbred,NA,NA,1219,0,40.3,1,13/02/2018,989,2,1,2,0.5
730,BIF005,Bishop,15/11/2021,F,Inbred,NA,NA,837,0,27.7,2,13/02/2018,1371,2,1,5,0.6
730,BIF006,Bishop,15/11/2021,F,Inbred,NA,NA,837,0,27.7,2,13/02/2018,1371,2,1,5,0.6
764,BIF007,Bishop,02/03/2022,F,Inbred,NA,NA,730,0,24.1,3,13/02/2018,1478,2,1,7,0.9
880,BIF016,Bishop,17/04/2023,F,Inbred,NA,NA,319,0,10.5,3,13/02/2018,1889,2,1,12,1.5
880,BIF017,Bishop,17/04/2023,F,Inbred,NA,NA,319,0,10.5,3,13/02/2018,1889,2,1,12,1.5
880,BIF018,Bishop,17/04/2023,F,Inbred,NA,NA,319,0,10.5,3,13/02/2018,1889,2,1,12,1.5
665,BIM002,Bishop,11/02/2021,M,Inbred,NA,NA,1114,0,36.8,3,13/02/2018,1094,2,1,3,0.8
764,BIM008,Bishop,02/03/2022,M,Inbred,NA,NA,730,0,24.1,3,13/02/2018,1478,2,1,7,0.9
764,BIM009,Bishop,02/03/2022,M,Inbred,NA,NA,730,0,24.1,3,13/02/2018,1478,2,1,7,0.9
593,PIF001,Pigeon,28/06/2020,F,Inbred,NA,NA,1342,0,44.4,2,26/03/2016,1555,11,1,2,0.5
603,SNF003,Sneeubal,14/08/2020,F,Inbred,NA,NA,1295,0,42.8,3,15/11/2015,1734,12,1,2,0.5
603,SNM001,Sneeubal,14/08/2020,M,Inbred,NA,NA,1295,0,42.8,3,15/11/2015,1734,12,1,2,0.5
603,SNM002,Sneeubal,14/08/2020,M,Inbred,NA,NA,1295,0,42.8,3,15/11/2015,1734,12,1,2,0.5
587,TEM002,Tit-Babbler,08/06/2020,M,Inbred,NA,NA,1362,0,45,3,15/11/2015,1667,15,1,2,0.5
587,TEM003,Tit-Babbler,08/06/2020,M,Inbred,NA,NA,1362,0,45,3,15/11/2015,1667,15,1,2,0.5
574,TLF005,Tarentaal,30/03/2020,F,Inbred,NA,NA,1432,0,47.3,5,27/01/2016,1524,13,1,2,0.5
623,PIF004,Pigeon,13/10/2020,F,Inbred,NA,NA,1235,0,40.8,2,26/03/2016,1662,11,1,4,1
689,PIF010,Pigeon,16/05/2021,F,Inbred,NA,NA,1020,0,33.7,3,26/03/2016,1877,11,1,7,0.9
721,PIF012,Pigeon,11/09/2021,F,Inbred,NA,NA,902,0,29.8,3,26/03/2016,1995,11,1,8,1
721,PIF014,Pigeon,11/09/2021,F,Inbred,NA,NA,902,0,29.8,3,26/03/2016,1995,11,1,8,1
887,PIF024,Pigeon,03/05/2023,F,Inbred,NA,NA,303,0,10,2,26/03/2016,2594,11,1,17,2.1
963,PIF028,Pigeon,22/01/2024,F,Inbred,NA,NA,39,0,1.3,4,26/03/2016,2858,11,1,17,2.1
623,PIM003,Pigeon,13/10/2020,M,Inbred,NA,NA,1235,0,40.8,2,26/03/2016,1662,11,1,4,1
663,PIM006,Pigeon,27/01/2021,M,Inbred,NA,NA,1129,0,37.3,4,26/03/2016,1768,11,1,5,1.3
721,PIM013,Pigeon,11/09/2021,M,Inbred,NA,NA,902,0,29.8,3,26/03/2016,1995,11,1,8,1
772,PIM017,Pigeon,08/04/2022,M,Inbred,NA,NA,693,0,22.9,5,26/03/2016,2204,11,1,10,1.3
772,PIM019,Pigeon,08/04/2022,M,Inbred,NA,NA,693,0,22.9,5,26/03/2016,2204,11,1,10,1.3
857,PIM023,Pigeon,14/01/2023,M,Inbred,NA,NA,412,0,13.6,2,26/03/2016,2485,11,1,15,1.9
887,PIM025,Pigeon,03/05/2023,M,Inbred,NA,NA,303,0,10,2,26/03/2016,2594,11,1,17,2.1
963,PIM026,Pigeon,22/01/2024,M,Inbred,NA,NA,39,0,1.3,4,26/03/2016,2858,11,1,17,2.1
963,PIM027,Pigeon,22/01/2024,M,Inbred,NA,NA,39,0,1.3,4,26/03/2016,2858,11,1,17,2.1
574,TLF007,Tarentaal,30/03/2020,F,Inbred,NA,NA,1432,0,47.3,5,27/01/2016,1524,13,1,2,0.5
713,SNF012,Sneeubal,19/08/2021,F,Inbred,NA,NA,925,0,30.6,3,15/11/2015,2104,12,1,5,0.6
737,SNF016,Sneeubal,02/12/2021,F,Inbred,NA,NA,820,0,27.1,4,15/11/2015,2209,12,1,8,1
737,SNF017,Sneeubal,02/12/2021,F,Inbred,NA,NA,820,0,27.1,4,15/11/2015,2209,12,1,8,1
770,SNF019,Sneeubal,24/03/2022,F,Inbred,NA,NA,708,0,23.4,2,15/11/2015,2321,12,1,12,1.5
799,SNF020,Sneeubal,13/07/2022,F,Inbred,NA,NA,597,0,19.7,4,15/11/2015,2432,12,1,13,1.6
799,SNF023,Sneeubal,13/07/2022,F,Inbred,NA,NA,597,0,19.7,4,15/11/2015,2432,12,1,13,1.6
834,SNF024,Sneeubal,17/11/2022,F,Inbred,NA,NA,470,0,15.5,4,15/11/2015,2559,12,1,17,1.1
871,SNF030,Sneeubal,04/03/2023,F,Inbred,NA,NA,363,0,12,3,15/11/2015,2666,12,1,19,1.2
930,SNF032,Sneeubal,29/09/2023,F,Inbred,NA,NA,154,0,5.1,4,15/11/2015,2875,12,1,23,1.4
930,SNF033,Sneeubal,29/09/2023,F,Inbred,NA,NA,154,0,5.1,4,15/11/2015,2875,12,1,23,1.4
